"hasAttachedProperty","hasCooling","hasGarage","hasHeating","hasSpa","hasView","stories","price","bathrooms","bedrooms","city","population","distanceToCoast","AvgIncomeCity","hasPool","furnished","additionalParcels","hasAssociation","hasCarport","hasFireplace","hasHomeWarranty","hasLandLease","isNewConstruction","LivingArea","Yearsold","schoolRating","homeType","homeRating"
0,1,1,1,1,1,1,1262000,3,3,"Anaheim","346,824",15.2,88538,2,0,0,0,0,1,0,0,0,"2200","67","7",3,2
0,1,1,1,0,1,1,1120000,3,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1792","68","7",3,2
0,1,0,1,0,1,1,1150000,3,5,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"3137","59","7",3,2
0,1,1,1,0,1,2,1725000,7,9,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"4273","52","7",2,2
0,1,1,1,0,1,2,1259000,3,3,"Anaheim","346,824",15.2,88538,0,0,0,1,0,1,0,0,0,"1800","31","7",3,2
1,1,1,1,1,1,1,1257000,2,3,"Anaheim","346,824",15.2,88538,2,0,0,0,0,1,0,0,0,"1502","53","7",3,2
1,0,1,0,0,0,1,1315000,4,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"2508","64","7",2,2
0,1,1,1,0,1,2,1350000,4,5,"Anaheim","346,824",15.2,88538,0,0,0,1,0,1,0,0,0,"2735","26","7",3,2
0,1,1,1,0,1,2,1190000,3,4,"Anaheim","346,824",15.2,88538,0,0,0,1,0,1,0,0,0,"2000","32","7",3,2
1,0,1,0,0,0,2,1313000,6,8,"Anaheim","346,824",15.2,88538,0,0,0,1,0,0,0,0,0,"3950","61","7",2,2
0,1,1,1,1,1,2,2200000,5,5,"Anaheim","346,824",15.2,88538,2,1,0,1,0,1,0,0,0,"3774","25","7",3,3
0,1,1,1,0,1,1,1125000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1792","67","7",3,2
0,1,1,1,1,1,2,1585000,3,4,"Anaheim","346,824",15.2,88538,2,0,0,1,0,1,0,0,0,"2407","47","7",3,3
0,1,1,0,0,1,1,1174000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1513","67","7",3,2
0,1,1,1,0,1,2,1275000,3,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"2355","46","7",3,2
0,1,1,0,0,1,2,1200000,3,4,"Anaheim","346,824",15.2,88538,0,0,0,1,0,1,0,0,0,"2725","20","7",3,2
0,1,1,1,0,1,2,1175000,3,4,"Anaheim","346,824",15.2,88538,2,0,0,0,0,1,0,0,0,"2188","54","7",3,3
1,1,0,0,0,1,1,456000,2,2,"Anaheim","346,824",15.2,88538,1,0,0,1,0,0,0,0,0,"920","60","7",1,1
0,1,1,0,0,0,1,300000,2,2,"Anaheim","346,824",15.2,88538,1,0,0,0,1,0,0,1,0,"1910","45","7",0,1
0,1,0,1,1,1,1,295000,2,3,"Anaheim","346,824",15.2,88538,1,0,0,0,1,0,0,1,0,"1800","45","7",0,1
0,1,1,1,1,1,1,310000,2,3,"Anaheim","346,824",15.2,88538,1,0,0,0,0,0,0,1,0,"1680","44","7",0,1
1,1,1,1,1,1,1,370000,1,1,"Anaheim","346,824",15.2,88538,1,0,1,1,1,1,0,0,0,"682","51","7",1,1
0,1,0,1,0,0,1,220000,2,3,"Anaheim","346,824",15.2,88538,1,0,0,0,1,0,0,1,0,"1600","23","7",0,1
0,0,0,0,0,0,1,495000,2.5,2,"Anaheim","346,824",15.2,88538,0,0,0,1,0,0,0,0,0,"1399","45","7",1,1
1,1,0,1,0,1,1,492000,2,2,"Anaheim","346,824",15.2,88538,1,0,0,1,1,0,0,0,0,"912","53","7",1,1
0,1,1,1,1,1,1,326000,2,2,"Anaheim","346,824",15.2,88538,1,0,0,0,0,0,0,1,0,"1979","33","7",0,2
0,1,0,1,1,1,1,222000,2,3,"Anaheim","346,824",15.2,88538,1,0,0,0,1,0,0,1,0,"1440","30","7",0,1
0,0,0,0,0,0,1,290000,2,4,"Anaheim","346,824",15.2,88538,1,0,0,0,1,0,0,1,0,"1321","20","7",0,1
0,0,0,0,0,0,1,245000,2,3,"Anaheim","346,824",15.2,88538,1,0,0,1,1,0,0,1,0,"1160","28","7",0,1
0,1,0,0,0,0,1,210000,2,4,"Anaheim","346,824",15.2,88538,1,0,0,0,0,0,0,1,0,"1648","23","7",0,1
0,1,1,0,0,0,1,270000,3,5,"Anaheim","346,824",15.2,88538,1,0,0,0,0,0,0,1,0,"1368","52","7",0,2
0,1,0,1,1,1,1,256000,2,3,"Anaheim","346,824",15.2,88538,1,0,0,0,0,0,0,1,0,"1440","29","7",0,1
0,1,1,1,1,1,1,350000,2,3,"Anaheim","346,824",15.2,88538,1,0,0,0,0,0,0,1,0,"1512","26","7",0,2
0,1,0,1,0,0,1,400000,2,1,"Anaheim","346,824",15.2,88538,0,0,0,1,0,1,0,0,0,"865","28","7",1,1
1,0,1,0,0,1,1,275000,2,2,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1680","44","7",3,2
0,1,0,1,0,0,1,243000,2,3,"Anaheim","346,824",15.2,88538,1,0,0,0,1,0,0,1,0,"1596","17","7",0,1
0,1,0,1,1,1,1,250000,2,4,"Anaheim","346,824",15.2,88538,1,0,0,0,0,0,0,1,0,"1400","17","7",0,1
1,1,1,1,1,1,1,492000,1,1,"Anaheim","346,824",15.2,88538,1,0,0,1,1,1,0,0,0,"798","37","7",1,2
0,1,1,0,0,1,1,905000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1112","69","7",3,2
0,1,1,1,0,1,1,1050000,3,5,"Anaheim","346,824",15.2,88538,2,0,0,0,0,1,0,0,0,"2246","69","7",3,3
0,1,1,1,0,1,1,1037800,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1716","56","7",3,2
0,1,1,1,0,1,3,980000,3,4,"Anaheim","346,824",15.2,88538,2,0,0,0,0,1,0,0,0,"2191","66","7",3,1
0,1,1,1,0,1,1,900000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1392","68","7",3,2
0,1,1,1,0,1,1,949900,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1250","112","7",3,2
